State,SegmentClass,Phoneme,Language_Count
Chhattisgarh,consonant,cç,2
Chhattisgarh,consonant,d,2
Chhattisgarh,consonant,r,2
Chhattisgarh,consonant,t,2
Chhattisgarh,consonant,ɖ,2
Chhattisgarh,consonant,ɟʝ,2
Chhattisgarh,consonant,ɽ,2
Chhattisgarh,consonant,ʈ,2
Chhattisgarh,consonant,b̤,1
Chhattisgarh,consonant,c,1
Chhattisgarh,consonant,d̤,1
Chhattisgarh,consonant,d̪,1
Chhattisgarh,consonant,f,1
Chhattisgarh,consonant,kʰ,1
Chhattisgarh,consonant,pʰ,1
Chhattisgarh,consonant,r̥,1
Chhattisgarh,consonant,ts,1
Chhattisgarh,consonant,tʰ,1
Chhattisgarh,consonant,t̪,1
Chhattisgarh,consonant,v,1
Chhattisgarh,consonant,z,1
Chhattisgarh,consonant,ç,1
Chhattisgarh,consonant,ɟ,1
Chhattisgarh,consonant,ɡʱ,1
Chhattisgarh,consonant,ɲ,1
Chhattisgarh,consonant,ɾ,1
Chhattisgarh,consonant,ʔ,1
Chhattisgarh,vowel,a,3
Chhattisgarh,vowel,e,3
Chhattisgarh,vowel,i,3
Chhattisgarh,vowel,o,3
Chhattisgarh,vowel,u,3
Chhattisgarh,vowel,aː,1
Chhattisgarh,vowel,eː,1
Chhattisgarh,vowel,iː,1
Chhattisgarh,vowel,oː,1
Chhattisgarh,vowel,uː,1
Chhattisgarh,vowel,æ,1
Chhattisgarh,vowel,ø,1
Chhattisgarh,vowel,ɘ,1
Chhattisgarh,vowel,ɛ,1
Chhattisgarh,vowel,ɨ,1
Chhattisgarh,vowel,ɪ,1
Chhattisgarh,vowel,ʊ,1
Chhattisgarh,vowel,ʌ,1
Gujarat,consonant,b,3
Gujarat,consonant,b̤,3
Gujarat,consonant,d̪,3
Gujarat,consonant,d̪̤,3
Gujarat,consonant,h,3
Gujarat,consonant,j,3
Gujarat,consonant,k,3
Gujarat,consonant,kʰ,3
Gujarat,consonant,l,3
Gujarat,consonant,m,3
Gujarat,consonant,p,3
Gujarat,consonant,pʰ,3
Gujarat,consonant,s,3
Gujarat,consonant,t̪,3
Gujarat,consonant,t̪ʰ,3
Gujarat,consonant,ɖ,3
Gujarat,consonant,ɖ̤,3
Gujarat,consonant,ɡ,3
Gujarat,consonant,ɭ,3
Gujarat,consonant,ɾ,3
Gujarat,consonant,ʈ,3
Gujarat,consonant,ʈʰ,3
Gujarat,consonant,cç,2
Gujarat,consonant,d̠ʒ,2
Gujarat,consonant,d̠̤ʒ̤,2
Gujarat,consonant,n,2
Gujarat,consonant,n̪,2
Gujarat,consonant,t̠ʃ,2
Gujarat,consonant,w,2
Gujarat,consonant,ç,2
Gujarat,consonant,ɟʝ,2
Gujarat,consonant,ɟ̤ʝ,2
Gujarat,consonant,ɡ̤,2
Gujarat,consonant,ɦ,2
Gujarat,consonant,ʋ,2
Gujarat,consonant,cçʰ,1
Gujarat,consonant,dz,1
Gujarat,consonant,f,1
Gujarat,consonant,l̤,1
Gujarat,consonant,m̤,1
Gujarat,consonant,n̪̤,1
Gujarat,consonant,ts,1
Gujarat,consonant,t̠ʃʰ,1
Gujarat,consonant,v,1
Gujarat,consonant,ŋ,1
Gujarat,consonant,ɡʱ,1
Gujarat,consonant,ɲ,1
Gujarat,consonant,ɳ,1
Gujarat,consonant,ɺ,1
Gujarat,consonant,ɽ,1
Gujarat,consonant,ʂ,1
Gujarat,consonant,ʃ,1
Gujarat,vowel,i,3
Gujarat,vowel,o,3
Gujarat,vowel,õ,3
Gujarat,vowel,u,3
Gujarat,vowel,ũː,3
Gujarat,vowel,ə,3
Gujarat,vowel,ɛ,3
Gujarat,vowel,a,2
Gujarat,vowel,ä,2
Gujarat,vowel,e,2
Gujarat,vowel,ẽ̞,2
Gujarat,vowel,iː,2
Gujarat,vowel,ĩː,2
Gujarat,vowel,oː,2
Gujarat,vowel,õː,2
Gujarat,vowel,uː,2
Gujarat,vowel,ũ,2
Gujarat,vowel,aː,1
Gujarat,vowel,aˑ,1
Gujarat,vowel,ã,1
Gujarat,vowel,ã̈,1
Gujarat,vowel,ã̈ː,1
Gujarat,vowel,ã̤̈ː,1
Gujarat,vowel,ä̤,1
Gujarat,vowel,eː,1
Gujarat,vowel,eˑ,1
Gujarat,vowel,ẽ,1
Gujarat,vowel,e̤,1
Gujarat,vowel,iˑ,1
Gujarat,vowel,ĩ,1
Gujarat,vowel,i̤,1
Gujarat,vowel,i̤ː,1
Gujarat,vowel,ĩ̤ː,1
Gujarat,vowel,oˑ,1
Gujarat,vowel,o̤,1
Gujarat,vowel,uˑ,1
Gujarat,vowel,ṳ,1
Gujarat,vowel,ṳː,1
Gujarat,vowel,ṳ̃ː,1
Gujarat,vowel,æ,1
Gujarat,vowel,ɑ̃,1
Gujarat,vowel,ɑ̤,1
Gujarat,vowel,ɔ,1
Gujarat,vowel,ɔ̃ː,1
Gujarat,vowel,ɔ̤,1
Gujarat,vowel,ɔ̤̃ː,1
Gujarat,vowel,əː,1
Gujarat,vowel,əˑ,1
Gujarat,vowel,ə̃,1
Gujarat,vowel,ə̃ː,1
Gujarat,vowel,ə̤,1
Gujarat,vowel,ə̤̃ː,1
Gujarat,vowel,ɛː,1
Gujarat,vowel,ɛ̃ː,1
Gujarat,vowel,ɛ̤,1
Gujarat,vowel,ɛ̤̃ː,1
Gujarat,vowel,ɨ,1
Gujarat,vowel,ɨː,1
Gujarat,vowel,ɨˑ,1
Gujarat,vowel,ɪ,1
Gujarat,vowel,ʊ,1
Gujarat,vowel,ʊ̃,1
Haryana,consonant,b,1
Haryana,consonant,bʱ,1
Haryana,consonant,d̠ʒ,1
Haryana,consonant,d̠ʒʱ,1
Haryana,consonant,d̪,1
Haryana,consonant,d̪ʱ,1
Haryana,consonant,h,1
Haryana,consonant,j,1
Haryana,consonant,k,1
Haryana,consonant,kʰ,1
Haryana,consonant,l̪,1
Haryana,consonant,m,1
Haryana,consonant,n̪,1
Haryana,consonant,p,1
Haryana,consonant,pʰ,1
Haryana,consonant,r̪,1
Haryana,consonant,s̪,1
Haryana,consonant,t̠ʃ,1
Haryana,consonant,t̠ʃʰ,1
Haryana,consonant,t̪,1
Haryana,consonant,t̪ʰ,1
Haryana,consonant,w,1
Haryana,consonant,ɖ,1
Haryana,consonant,ɖʱ,1
Haryana,consonant,ɡ,1
Haryana,consonant,ɡʱ,1
Haryana,consonant,ɳ,1
Haryana,consonant,ɽ,1
Haryana,consonant,ʈ,1
Haryana,consonant,ʈʰ,1
Haryana,vowel,a,1
Haryana,vowel,ã,1
Haryana,vowel,e,1
Haryana,vowel,ẽ,1
Haryana,vowel,i,1
Haryana,vowel,ĩ,1
Haryana,vowel,o,1
Haryana,vowel,õ,1
Haryana,vowel,u,1
Haryana,vowel,ũ,1
Haryana,vowel,ɔ,1
Haryana,vowel,ɔ̃,1
Haryana,vowel,ə,1
Haryana,vowel,ə̃,1
Haryana,vowel,ɛ,1
Haryana,vowel,ɛ̃,1
Haryana,vowel,ɪ,1
Haryana,vowel,ɪ̃,1
Haryana,vowel,ʊ,1
Haryana,vowel,ʊ̃,1
Himachal Pradesh,consonant,b,5
Himachal Pradesh,consonant,j,5
Himachal Pradesh,consonant,k,5
Himachal Pradesh,consonant,kʰ,5
Himachal Pradesh,consonant,p,5
Himachal Pradesh,consonant,pʰ,5
Himachal Pradesh,consonant,r,5
Himachal Pradesh,consonant,w,5
Himachal Pradesh,consonant,ŋ,5
Himachal Pradesh,consonant,ɖ,5
Himachal Pradesh,consonant,ɡ,5
Himachal Pradesh,consonant,ʈ,5
Himachal Pradesh,consonant,ʈʰ,5
Himachal Pradesh,consonant,d̪,4
Himachal Pradesh,consonant,l,4
Himachal Pradesh,consonant,m,4
Himachal Pradesh,consonant,n,4
Himachal Pradesh,consonant,t̪,4
Himachal Pradesh,consonant,t̪ʰ,4
Himachal Pradesh,consonant,ɲ,4
Himachal Pradesh,consonant,h,3
Himachal Pradesh,consonant,s,3
Himachal Pradesh,consonant,z,3
Himachal Pradesh,consonant,ɭ,3
Himachal Pradesh,consonant,ɳ,3
Himachal Pradesh,consonant,ɽ,3
Himachal Pradesh,consonant,ʂ,3
Himachal Pradesh,consonant,c,2
Himachal Pradesh,consonant,cç,2
Himachal Pradesh,consonant,cçʰ,2
Himachal Pradesh,consonant,dz,2
Himachal Pradesh,consonant,d̪̤,2
Himachal Pradesh,consonant,ts,2
Himachal Pradesh,consonant,tsʰ,2
Himachal Pradesh,consonant,ɟ,2
Himachal Pradesh,consonant,ɟʝ,2
Himachal Pradesh,consonant,ʃ,2
Himachal Pradesh,consonant,ʒ,2
Himachal Pradesh,consonant,b̤,1
Himachal Pradesh,consonant,cʰ,1
Himachal Pradesh,consonant,c̤,1
Himachal Pradesh,consonant,d,1
Himachal Pradesh,consonant,dʑ,1
Himachal Pradesh,consonant,d̠ʒ,1
Himachal Pradesh,consonant,f,1
Himachal Pradesh,consonant,l̤,1
