antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'a', 'ʊ'})",frozenset({'ɪ'}),0.12122328666175387,0.14959469417833457,0.1079587324981577,0.8905775075987842,5.95326934882537,1.0,0.08982437200270005,7.771759600425774,0.9467991785977491,0.6628959276018097,0.8713290102353121,0.8061261922230374
frozenset({'ɪ'}),"frozenset({'a', 'ʊ'})",0.14959469417833457,0.12122328666175387,0.1079587324981577,0.7216748768472906,5.953269348825369,1.0,0.08982437200270005,3.157374739958654,0.9783864995475007,0.6628959276018097,0.6832811806136464,0.8061261922230374
"frozenset({'a', 'ɪ'})",frozenset({'ʊ'}),0.12896094325718496,0.14075165806927045,0.1079587324981577,0.8371428571428572,5.9476589379207185,1.0,0.0898072659085318,5.276086310100972,0.9550279216691787,0.6674259681093393,0.8104655721636854,0.8020792819745699
frozenset({'ʊ'}),"frozenset({'a', 'ɪ'})",0.14075165806927045,0.12896094325718496,0.1079587324981577,0.7670157068062827,5.9476589379207185,1.0,0.0898072659085318,3.738617075008487,0.968132936031706,0.6674259681093393,0.7325214163588204,0.8020792819745699
frozenset({'õ'}),"frozenset({'o', 'ĩ'})",0.1234340456890199,0.1529108327192336,0.11201179071481208,0.9074626865671641,5.934587304441647,1.0,0.09313738800260013,9.15402809803408,0.9485838255790803,0.6816143497757848,0.8907584738335292,0.819996403524546
"frozenset({'o', 'ĩ'})",frozenset({'õ'}),0.1529108327192336,0.1234340456890199,0.11201179071481208,0.7325301204819277,5.934587304441647,1.0,0.09313738800260013,3.277251090441952,0.98159239715208,0.6816143497757848,0.6948662240386514,0.819996403524546
frozenset({'ẽ'}),"frozenset({'o', 'ĩ'})",0.11532792925571113,0.1529108327192336,0.1028002947678703,0.8913738019169328,5.829369875668808,1.0,0.08516540506959464,7.798203216437638,0.9364541954591799,0.6213808463251669,0.8717653320585279,0.7818314792717194
frozenset({'ʊ'}),frozenset({'ɪ'}),0.14075165806927045,0.14959469417833457,0.12232866617538689,0.8691099476439791,5.809764526861476,1.0,0.10127296493142085,6.4970965364775255,0.9634886027816238,0.7280701754385965,0.8460850944132405,0.8434219688958812
frozenset({'ɪ'}),frozenset({'ʊ'}),0.14959469417833457,0.14075165806927045,0.12232866617538689,0.8177339901477833,5.809764526861476,1.0,0.10127296493142085,4.714254416538868,0.9735075483911383,0.7280701754385965,0.7878773796145299,0.8434219688958812
"frozenset({'o', 'ã'})",frozenset({'õ'}),0.15106853352984526,0.1234340456890199,0.10685335298452468,0.7073170731707317,5.7303239898070615,1.0,0.08820635271462852,2.9949336772291817,0.9723868534482759,0.6373626373626373,0.6661027896533693,0.7864943574808883
frozenset({'õ'}),"frozenset({'o', 'ã'})",0.1234340456890199,0.15106853352984526,0.10685335298452468,0.8656716417910447,5.7303239898070615,1.0,0.08820635271462852,6.3198231392778155,0.9417315301995912,0.6373626373626373,0.841767723880597,0.7864943574808883
frozenset({'õ'}),"frozenset({'ĩ', 'e'})",0.1234340456890199,0.15217391304347827,0.10611643330876934,0.8597014925373133,5.6494669509594875,1.0,0.0873329915734837,6.043015726179458,0.9388821750502079,0.6260869565217392,0.8345197091465747,0.7785190271403273
frozenset({'õ'}),"frozenset({'ã', 'e'})",0.1234340456890199,0.14959469417833457,0.10132645541635962,0.8208955223880597,5.487464157047276,1.0,0.08286137710031612,4.7480962908376325,0.932920631281287,0.5901287553648068,0.7893892754597894,0.7491177119329462
frozenset({'ũ'}),"frozenset({'ĩ', 'u'})",0.1735445836403832,0.1735445836403832,0.1617538688282977,0.9320594479830148,5.370720470967945,1.0,0.13163614631738374,12.164390659543093,0.9846934578547076,0.8727634194831013,0.9177928407605448,0.9320594479830148
"frozenset({'ĩ', 'u'})",frozenset({'ũ'}),0.1735445836403832,0.1735445836403832,0.1617538688282977,0.9320594479830148,5.370720470967945,1.0,0.13163614631738374,12.164390659543093,0.9846934578547076,0.8727634194831013,0.9177928407605448,0.9320594479830148
frozenset({'ũ'}),"frozenset({'ã', 'u'})",0.1735445836403832,0.1658069270449521,0.15327929255711129,0.8832271762208069,5.3268412361406,1.0,0.12450439843840369,7.143726133851419,0.9828376316060222,0.8237623762376238,0.8600170301516209,0.9038358103326257
"frozenset({'ã', 'u'})",frozenset({'ũ'}),0.1658069270449521,0.1735445836403832,0.15327929255711129,0.9244444444444445,5.3268412361405995,1.0,0.12450439843840369,10.938380510641997,0.97372120481109,0.8237623762376238,0.9085787883291228,0.9038358103326257
"frozenset({'a', 'ẽ'})",frozenset({'ã'}),0.1079587324981577,0.18312453942520265,0.10243183492999262,0.9488054607508533,5.181203260518744,1.0,0.08266194176433883,15.956300663227713,0.9046606580906278,0.54296875,0.9373288319701469,0.7540807987858894
frozenset({'ã'}),"frozenset({'a', 'ũ'})",0.18312453942520265,0.16249078850405305,0.15254237288135594,0.8329979879275654,5.1264320617583055,1.0,0.12278632207571322,5.01496479654802,0.9853797729011002,0.7900763358778627,0.8005968056469038,0.8858867490658235
"frozenset({'a', 'ũ'})",frozenset({'ã'}),0.16249078850405305,0.18312453942520265,0.15254237288135594,0.9387755102040818,5.1264320617583055,1.0,0.12278632207571322,13.34229918938839,0.9611029285181432,0.7900763358778627,0.9250503990500126,0.8858867490658235
"frozenset({'ĩ', 'a'})",frozenset({'ã'}),0.17686072218128224,0.18312453942520265,0.16507000736919675,0.9333333333333332,5.096713615023473,1.0,0.13268246907734071,12.253131908621942,0.976499552372426,0.8468809073724005,0.9183882122989023,0.9173708920187793
frozenset({'ã'}),"frozenset({'ĩ', 'a'})",0.18312453942520265,0.17686072218128224,0.16507000736919675,0.9014084507042253,5.096713615023473,1.0,0.13268246907734071,8.348984103589844,0.9839873703202527,0.8468809073724005,0.8802249486173981,0.9173708920187793
"frozenset({'ĩ', 'ã'})",frozenset({'ũ'}),0.16654384672070743,0.1735445836403832,0.14701547531319087,0.8827433628318585,5.086550927230709,1.0,0.11811269277617789,7.048261286689568,0.9639416844498513,0.7614503816793895,0.8581210373275363,0.8649385603968209
frozenset({'ũ'}),"frozenset({'ĩ', 'ã'})",0.1735445836403832,0.16654384672070743,0.14701547531319087,0.8471337579617835,5.086550927230709,1.0,0.11811269277617789,5.452192336035373,0.9721070397795648,0.7614503816793895,0.8165875416040143,0.8649385603968209
"frozenset({'ã', 'ũ'})",frozenset({'ĩ'}),0.15364775239498896,0.18828297715549006,0.14701547531319087,0.9568345323741007,5.081896126934069,1.0,0.11808621905901277,18.804777695897787,0.9490410833352428,0.7542533081285445,0.946822024903908,0.8688282250911599
frozenset({'ĩ'}),"frozenset({'ã', 'ũ'})",0.18828297715549006,0.15364775239498896,0.14701547531319087,0.7808219178082192,5.081896126934069,1.0,0.11808621905901277,3.861482129697863,0.9895358004634828,0.7542533081285445,0.7410320787686142,0.8688282250911599
frozenset({'ũ'}),"frozenset({'ĩ', 'e'})",0.1735445836403832,0.15217391304347827,0.13338246131171702,0.7685774946921444,5.050652107976949,1.0,0.1069735029316587,3.663542082169925,0.970416248956237,0.6934865900383143,0.7270401219445806,0.8225454059417139
"frozenset({'ĩ', 'e'})",frozenset({'ũ'}),0.15217391304347827,0.1735445836403832,0.13338246131171702,0.8765133171912832,5.050652107976949,1.0,0.1069735029316587,6.692668371696501,0.9459555177787222,0.6934865900383143,0.8505827654289535,0.8225454059417139
"frozenset({'a', 'ẽ'})",frozenset({'ĩ'}),0.1079587324981577,0.18828297715549006,0.10243183492999262,0.9488054607508533,5.039252486257956,1.0,0.08210504336530633,15.855539179562767,0.8985659056398003,0.5285171102661597,0.9369305585464438,0.746418385952726
frozenset({'ẽ'}),"frozenset({'ĩ', 'a'})",0.11532792925571113,0.17686072218128224,0.10243183492999262,0.888178913738019,5.021911608093716,1.0,0.08203485407415573,7.361216970207383,0.9052762787687384,0.5398058252427185,0.8641528969941735,0.7336727902023428
"frozenset({'ẽ', 'e'})",frozenset({'ĩ'}),0.11422254974207811,0.18828297715549006,0.1079587324981577,0.9451612903225806,5.01989773372893,1.0,0.08645257077442818,14.801898651870452,0.9040563792995747,0.5549242424242424,0.9324410993806099,0.7592734044567893
"frozenset({'õ', 'a'})",frozenset({'ã'}),0.11643330876934414,0.18312453942520265,0.10685335298452468,0.9177215189873418,5.011461172095866,1.0,0.08553155694238612,9.928178674678307,0.9059388570935549,0.5544933078393882,0.8992765911283922,0.7506112625117796
"frozenset({'ũ', 'e'})",frozenset({'ĩ'}),0.1414885777450258,0.18828297715549006,0.13338246131171702,0.9427083333333333,5.006869699934768,1.0,0.10674257066038756,14.168151671467792,0.9321651293481612,0.6791744840525328,0.9294191632622181,0.8255616030658839
frozenset({'ĩ'}),"frozenset({'ũ', 'e'})",0.18828297715549006,0.1414885777450258,0.13338246131171702,0.7084148727984344,5.006869699934768,1.0,0.10674257066038756,2.9442908508207504,0.9859032008085409,0.6791744840525328,0.6603596415343137,0.8255616030658839
frozenset({'ẽ'}),"frozenset({'ĩ', 'i'})",0.11532792925571113,0.18828297715549006,0.10869565217391304,0.9424920127795526,5.005720788030735,1.0,0.08698136630447001,14.114857119462847,0.9045482461403793,0.5576559546313798,0.9291526657665483,0.759895712847702
frozenset({'ẽ'}),frozenset({'ĩ'}),0.11532792925571113,0.18828297715549006,0.10869565217391304,0.9424920127795526,5.005720788030735,1.0,0.08698136630447001,14.114857119462847,0.9045482461403793,0.5576559546313798,0.9291526657665483,0.759895712847702
"frozenset({'ẽ', 'i'})",frozenset({'ĩ'}),0.11532792925571113,0.18828297715549006,0.10869565217391304,0.9424920127795526,5.005720788030735,1.0,0.08698136630447001,14.114857119462847,0.9045482461403793,0.5576559546313798,0.9291526657665483,0.759895712847702
"frozenset({'o', 'ũ'})",frozenset({'ĩ'}),0.1400147383935151,0.18828297715549006,0.13190862196020633,0.9421052631578947,5.003666700999073,1.0,0.10554623016982821,14.020566758223337,0.9304189226063103,0.6716697936210131,0.9286762070860309,0.8213461736533113
frozenset({'ĩ'}),"frozenset({'o', 'ũ'})",0.18828297715549006,0.1400147383935151,0.13190862196020633,0.700587084148728,5.003666700999073,1.0,0.10554623016982821,2.872238357391593,0.9857456946723233,0.6716697936210131,0.651839480025556,0.8213461736533113
"frozenset({'o', 'ẽ'})",frozenset({'ĩ'}),0.10943257184966838,0.18828297715549006,0.1028002947678703,0.9393939393939393,4.989266441321235,1.0,0.08219600434223266,13.393330876934401,0.8978205453307886,0.5274102079395083,0.9253359743600323,0.7426910988554823
frozenset({'ã'}),"frozenset({'ũ', 'e'})",0.18312453942520265,0.1414885777450258,0.12896094325718496,0.704225352112676,4.977259389671361,1.0,0.10305091262370014,2.9025862371477698,0.9782228236355437,0.6591337099811676,0.6554796590703016,0.8078418427230046
"frozenset({'ũ', 'e'})",frozenset({'ã'}),0.1414885777450258,0.18312453942520265,0.12896094325718496,0.9114583333333333,4.977259389671361,1.0,0.10305091262370014,9.225887554727114,0.9307811158798284,0.6591337099811676,0.8916093444594797,0.8078418427230046
frozenset({'ĩ'}),"frozenset({'a', 'ũ'})",0.18828297715549006,0.16249078850405305,0.15217391304347827,0.8082191780821918,4.973938433821018,1.0,0.12157966362359209,4.367012317086009,0.9842741408095278,0.7662337662337664,0.7710104924395375,0.8723635572950642
"frozenset({'a', 'ũ'})",frozenset({'ĩ'}),0.16249078850405305,0.18828297715549006,0.15217391304347827,0.9365079365079366,4.973938433821018,1.0,0.12157966362359209,12.784543109801055,0.953962134713326,0.7662337662337664,0.9217805445676532,0.8723635572950642
frozenset({'ĩ'}),"frozenset({'ũ', 'i'})",0.18828297715549006,0.17317612380250552,0.16212232866617537,0.8610567514677103,4.972144730815672,1.0,0.1295162125043919,5.950802827280556,0.9841847893368547,0.8133086876155265,0.8319554471851006,0.8986134821168339
"frozenset({'ũ', 'i'})",frozenset({'ĩ'}),0.17317612380250552,0.18828297715549006,0.16212232866617537,0.9361702127659574,4.972144730815671,1.0,0.1295162125043919,12.716900024563971,0.9662028034354239,0.8133086876155265,0.9213644836345022,0.8986134821168339
"frozenset({'o', 'ĩ'})",frozenset({'ũ'}),0.1529108327192336,0.1735445836403832,0.13190862196020633,0.8626506024096385,4.970772261018597,1.0,0.10537177516184265,6.0171753998112445,0.9430223487987247,0.6780303030303029,0.8338090659562011,0.8113677640498299
frozenset({'ũ'}),"frozenset({'o', 'ĩ'})",0.1735445836403832,0.1529108327192336,0.13190862196020633,0.7600849256900213,4.970772261018596,1.0,0.10537177516184265,3.53078759105523,0.9665663753402889,0.6780303030303029,0.716777071910708,0.8113677640498299
"frozenset({'ã', 'e'})",frozenset({'ũ'}),0.14959469417833457,0.1735445836403832,0.12896094325718496,0.8620689655172413,4.9674207482246135,1.0,0.10299959434119543,5.991801768607219,0.9391854419410746,0.6641366223908918,0.8331052930957614,0.8025843766015082
frozenset({'ũ'}),"frozenset({'ã', 'e'})",0.1735445836403832,0.14959469417833457,0.12896094325718496,0.7430997876857749,4.9674207482246135,1.0,0.10299959434119543,3.3102553639835066,0.9664021399910834,0.6641366223908918,0.6979085025039831,0.8025843766015082
